Date,CountofBullishBars
2023-02-14,93
2023-02-15,127
2023-02-16,104
2023-02-17,63
2023-02-20,91
2023-02-21,68
2023-02-22,64
2023-02-23,125
2023-02-24,66
2023-02-27,110
2023-02-28,146
2023-03-01,178
2023-03-02,71
2023-03-03,86
2023-03-06,100
2023-03-08,157
2023-03-09,42
2023-03-10,101
2023-03-13,28
2023-03-14,92
2023-03-15,64
2023-03-16,187
2023-03-17,106
2023-03-20,120
2023-03-21,114
2023-03-22,70
2023-03-23,74
2023-03-24,41
2023-03-27,67
2023-03-28,98
2023-03-29,261
2023-03-31,152
2023-04-03,153
2023-04-05,129
2023-04-06,128
2023-04-10,93
2023-04-11,92
2023-04-12,97
2023-04-13,87
2023-04-17,162
2023-04-18,88
2023-04-19,57
2023-04-20,66
2023-04-21,70
2023-04-24,97
2023-04-25,79
2023-04-26,97
2023-04-27,86
2023-04-28,139
2023-05-02,98
2023-05-03,90
2023-05-04,117
2023-05-05,65
2023-05-08,112
2023-05-09,60
2023-05-10,113
2023-05-11,79
2023-05-12,76
2023-05-15,143
2023-05-16,55
2023-05-17,93
2023-05-18,44
2023-05-19,115
2023-05-22,132
2023-05-23,78
2023-05-24,80
2023-05-25,108
2023-05-26,101
2023-05-29,84
2023-05-30,85
2023-05-31,157
2023-06-01,89
2023-06-02,59
2023-06-05,66
2023-06-06,101
2023-06-07,120
2023-06-08,44
2023-06-09,61
2023-06-12,109
2023-06-13,108
2023-06-14,83
2023-06-15,77
2023-06-16,102
2023-06-19,70
2023-06-20,111
2023-06-21,80
2023-06-22,49
2023-06-23,69
2023-06-26,167
2023-06-27,80
2023-06-28,72
2023-06-30,101
2023-07-03,87
2023-07-04,70
2023-07-05,108
2023-07-06,116
2023-07-07,70
2023-07-10,72
2023-07-11,112
2023-07-12,85
2023-07-13,47
2023-07-14,140
2023-07-17,93
2023-07-18,60
2023-07-19,84
2023-07-20,81
2023-07-21,97
2023-07-24,86
2023-07-25,98
2023-07-26,88
2023-07-27,86
2023-07-28,137
2023-07-31,157
2023-08-01,88
2023-08-02,97
2023-08-03,135
2023-08-04,101
2023-08-07,117
2023-08-08,105
2023-08-09,129
2023-08-10,72
2023-08-11,64
2023-08-14,176
2023-08-16,131
2023-08-17,92
2023-08-18,81
2023-08-21,117
2023-08-22,95
2023-08-23,91
2023-08-24,46
2023-08-25,82
2023-08-28,84
2023-08-29,84
2023-08-30,71
2023-08-31,134
2023-09-01,150
2023-09-04,134
2023-09-05,105
2023-09-06,86
2023-09-07,96
2023-09-08,100
2023-09-11,110
2023-09-12,101
2023-09-13,269
2023-09-14,98
2023-09-15,102
2023-09-18,68
2023-09-20,81
2023-09-21,35
2023-09-22,102
2023-09-25,108
2023-09-26,68
2023-09-27,106
2023-09-28,48
2023-09-29,112
2023-10-03,125
2023-10-04,59
2023-10-05,63
2023-10-06,82
2023-10-09,64
Grand Total,15527
